"INSTITUTION_ID","ENTITY_CD","ENTITY_NAME","WEIGHTED_INDEX","ENROLLMENT","ABSENT_COUNT","GRAD_COUNT","COHORT_COUNT","ELA_P_RATE","MATH_P_RATE","PUPIL_COUNT_TOT","FED_STATE_LOCAL_EXP","NUM_TEACH","NUM_TEACH_INEXP","NUM_TEACH_OC","NUM_OUT_CERT","OVERALL_STATUS"
"800000053428","130801060007","FRANKLIN D ROOSEVELT SENIOR HS","123.4","1182","341","228","263","98.9","68.7","1137","37111802",95,6,"94","1","Local Support and Improvement"
"800000053366","131201040002","PAWLING HIGH SCHOOL","144.5","354","102","84","90","100","91.9","346","13054293",38,7,"36","1","Local Support and Improvement"
"800000053379","131301040002","STISSING MOUNTAIN JR/SR HS","140.9","281","67","60","69","100","73.3","446","21139531",55,3,"55","0","Local Support and Improvement"
"800000053355","131500010010","POUGHKEEPSIE HIGH SCHOOL","50.6","1242","575","167","296","97.7","52.6","1158","35524438",96,14,"96","5","Comprehensive Support and Improvement"
"800000053267","131601060008","ARLINGTON HIGH SCHOOL","153.4","2522","540","628","685","99.8","89.1","2471","71556798",189,15,"182","0","Local Support and Improvement"
"800000053239","131602020005","SPACKENKILL HIGH SCHOOL","183.9","524","96","119","124","100","98.4","514","17831527",56,4,"56","0","Local Support and Improvement"
"800000053236","131701060002","RED HOOK SENIOR HIGH SCHOOL","165.6","562","111","128","147","98.5","94.1","554","19667371",60,2,"58","3","Local Support and Improvement"
"800000053217","131801040001","RHINEBECK SENIOR HIGH SCHOOL","180.7","318","92","78","83","98.7","90.7","313","13088667",42,7,"39","0","Local Support and Improvement"
"800000053173","132101060011","ROY C KETCHAM SENIOR HS","130.6","1631","183","365","400","100","96.7","1596","38972099",121,15,"118","3","Local Support and Improvement"
"800000053177","132101060015","JOHN JAY SENIOR HIGH SCHOOL","155.9","1859","176","446","465","100","96.1","1819","42996531",137,17,"134","1","Local Support and Improvement"
"800000059692","132201040005","MILLBROOK HIGH SCHOOL","146.3","259","64","69","73","100","89.1","257","10669515",37,3,"36","0","Local Support and Improvement"
"800000053080","140101060006","ALDEN SENIOR HIGH SCHOOL","132.9","502","93","113","123","97.8","60.5","496","11518421",38,3,"38","0","Local Support and Improvement"
"800000053092","140201060002","AMHERST CENTRAL HIGH SCHOOL","171.1","888","176","210","219","100","86","879","20218199",85,9,"81","4","Local Support and Improvement"
